,Dahiti_ID,Longitude,Latitude,oldest_date,latest_date,Min_Height,MinHeight_Datetime,MinHeight_Error,Max_Height,MaxHeight_Datetime,MaxHeight_Error
0,22162,90.5125,23.7753,2016-05-08 15:42:36,2024-02-11 15:42:55,0.744,2022-03-11 15:42:58,0.015,5.376,2020-07-25 15:42:55,0.0
1,10888,89.7688,24.1398,2002-06-17 04:16:26,2016-06-15 12:18:25,4.011,2003-02-17 04:16:20,0.004,12.323,2004-07-26 04:16:35,0.002
2,10889,89.7436,24.0488,2002-06-17 04:16:28,2016-05-11 12:18:54,3.446,2003-01-13 04:16:22,0.017,11.876,2004-07-26 04:16:36,0.0
3,17217,89.8148,23.7638,2018-12-12 04:15:43,2024-04-08 04:16:30,1.965,2019-01-08 04:15:47,0.291,8.541,2020-08-24 04:16:00,0.155
4,11161,91.2447,24.576,2016-04-15 15:39:03,2023-12-23 15:39:23,1.702,2021-04-25 15:39:29,0.41,6.95,2022-07-01 15:39:30,0.361
5,11194,91.7702,24.6196,2008-07-18 12:15:11,2024-02-27 00:09:30,3.364,2022-03-24 23:54:02,0.005,9.542,2016-07-21 15:00:27,0.027
6,11198,91.4632,24.6876,2002-07-12 15:38:28,2010-10-08 15:38:10,4.001,2003-03-14 15:38:27,0.039,7.365,2004-07-16 15:38:37,0.0
7,13084,90.9214,23.972,2002-07-31 15:41:08,2016-05-20 23:43:30,1.426,2007-01-31 15:41:07,0.015,6.845,2004-08-04 15:41:18,0.026
8,22142,90.7793,23.866,2018-12-16 04:11:58,2024-04-12 04:12:44,0.972,2020-03-19 04:12:03,0.001,5.245,2020-08-01 04:12:13,0.001
